Date,04/11/2023 14:38:39 , Ax ,0,Ay ,0,Az ,0,Mx ,0,My ,0,Mz ,0,yaw ,0,pitch ,0,roll ,0
Date,04/11/2023 14:38:39 , Ax ,-21.50 ,Ay , -43.01 ,Az ," 222.21
",Mx ,-15.50 ,My , 32.67 ,Mz ," 52.83
",yaw ,-3.00 ,pitch , 8.00 ,roll ," 9.00
"
Date,04/11/2023 14:38:39 , Ax ,-24.58 ,Ay , -47.10 ,Az ," 223.23
",Mx ,-15.17 ,My , 32.33 ,Mz ," 54.17
",yaw ,-39.00 ,pitch , -73.00 ,roll ," 32.00
"
Date,04/11/2023 14:38:39 , Ax ,-23.55 ,Ay , -48.13 ,Az ," 222.21
",Mx ,-14.00 ,My , 32.00 ,Mz ," 54.33
",yaw ,20.00 ,pitch , -10.00 ,roll ," -8.00
"
Date,04/11/2023 14:38:39 , Ax ,-24.58 ,Ay , -49.15 ,Az ," 221.18
",Mx ,-15.00 ,My , 32.67 ,Mz ," 54.17
",yaw ,-8.00 ,pitch , -62.00 ,roll ," 23.00
"
Date,04/11/2023 14:38:39 , Ax ,-26.62 ,Ay , -46.08 ,Az ," 221.18
",Mx ,-16.17 ,My , 32.00 ,Mz ," 54.33
",yaw ,-4.00 ,pitch , -25.00 ,roll ," 9.00
"
Date,04/11/2023 14:38:40 , Ax ,-26.62 ,Ay , -48.13 ,Az ," 221.18
",Mx ,-16.17 ,My , 31.83 ,Mz ," 55.00
",yaw ,9.00 ,pitch , -6.00 ,roll ," -10.00
"
Date,04/11/2023 14:38:40 , Ax ,-22.53 ,Ay , -54.27 ,Az ," 217.09
",Mx ,-15.83 ,My , 31.50 ,Mz ," 55.83
",yaw ,-26.00 ,pitch , -23.00 ,roll ," -41.00
"
Date,04/11/2023 14:38:40 , Ax ,-24.58 ,Ay , -68.61 ,Az ," 215.04
",Mx ,-18.33 ,My , 29.00 ,Mz ," 60.00
",yaw ,8.00 ,pitch , -21.00 ,roll ," -4.00
"
Date,04/11/2023 14:38:40 , Ax ,-33.79 ,Ay , -65.54 ,Az ," 216.06
",Mx ,-19.17 ,My , 29.83 ,Mz ," 59.00
",yaw ,27.00 ,pitch , -2.00 ,roll ," 30.00
"
Date,04/11/2023 14:38:40 , Ax ,-38.91 ,Ay , -66.56 ,Az ," 226.30
",Mx ,-18.83 ,My , 30.67 ,Mz ," 58.17
",yaw ,200.00 ,pitch , -158.00 ,roll ," 36.00
"
Date,04/11/2023 14:38:41 , Ax ,-31.74 ,Ay , -11.26 ,Az ," 192.51
",Mx ,-25.00 ,My , 36.17 ,Mz ," 50.50
",yaw ,-167.00 ,pitch , 254.00 ,roll ," -68.00
"
Date,04/11/2023 14:38:42 , Ax ,39.94 ,Ay , 0.00 ,Az ," 218.11
",Mx ,3.33 ,My , 31.67 ,Mz ," 40.50
",yaw ,-68.00 ,pitch , 38.00 ,roll ," 322.00
"
