Date,04/11/2023 15:36:37 , Ax ,0,Ay ,0,Az ,0,Mx ,0,My ,0,Mz ,0,yaw ,0,pitch ,0,roll ,0
Date,04/11/2023 15:36:37 , Ax ,-51.20 ,Ay , -44.03 ,Az ," 221.18
",Mx ,-121.17 ,My , -36.67 ,Mz ," 44.17
",yaw ,3.00 ,pitch , -11.00 ,roll ," 11.00
"
Date,04/11/2023 15:36:37 , Ax ,-45.06 ,Ay , -40.96 ,Az ," 219.14
",Mx ,-120.83 ,My , -35.83 ,Mz ," 44.83
",yaw ,-18.00 ,pitch , -2.00 ,roll ," 8.00
"
Date,04/11/2023 15:36:37 , Ax ,-53.25 ,Ay , -40.96 ,Az ," 222.21
",Mx ,-121.17 ,My , -34.83 ,Mz ," 42.67
",yaw ,-2.00 ,pitch , 64.00 ,roll ," -16.00
"
Date,04/11/2023 15:36:37 , Ax ,-54.27 ,Ay , -40.96 ,Az ," 225.28
",Mx ,-121.00 ,My , -33.50 ,Mz ," 43.17
",yaw ,82.00 ,pitch , -189.00 ,roll ," 2.00
"
Date,04/11/2023 15:36:38 , Ax ,-47.10 ,Ay , -36.86 ,Az ," 222.21
",Mx ,-122.00 ,My , -34.50 ,Mz ," 44.50
",yaw ,-22.00 ,pitch , 9.00 ,roll ," 4.00
"
Date,04/11/2023 15:36:38 , Ax ,-47.10 ,Ay , -43.01 ,Az ," 220.16
",Mx ,-121.83 ,My , -33.50 ,Mz ," 42.17
",yaw ,0.00 ,pitch , -57.00 ,roll ," -3.00
"
Date,04/11/2023 15:36:38 , Ax ,-62.46 ,Ay , -35.84 ,Az ," 214.02
",Mx ,-122.50 ,My , -33.17 ,Mz ," 40.00
",yaw ,0.00 ,pitch , -21.00 ,roll ," -3.00
"
Date,04/11/2023 15:36:38 , Ax ,-58.37 ,Ay , -40.96 ,Az ," 227.33
",Mx ,-121.83 ,My , -32.67 ,Mz ," 41.83
",yaw ,5.00 ,pitch , -42.00 ,roll ," -13.00
"
Date,04/11/2023 15:36:38 , Ax ,-54.27 ,Ay , -38.91 ,Az ," 219.14
",Mx ,-122.33 ,My , -32.67 ,Mz ," 42.33
",yaw ,15.00 ,pitch , 7.00 ,roll ," 14.00
"
Date,04/11/2023 15:36:38 , Ax ,-56.32 ,Ay , -39.94 ,Az ," 219.14
",Mx ,-121.67 ,My , -32.67 ,Mz ," 41.83
",yaw ,14.00 ,pitch , -13.00 ,roll ," 5.00
"
Date,04/11/2023 15:36:39 , Ax ,-54.27 ,Ay , -38.91 ,Az ," 221.18
",Mx ,-122.50 ,My , -32.83 ,Mz ," 43.50
",yaw ,12.00 ,pitch , -36.00 ,roll ," -1.00
"
Date,04/11/2023 15:36:40 , Ax ,-55.30 ,Ay , -36.86 ,Az ," 217.09
",Mx ,-121.67 ,My , -32.50 ,Mz ," 41.50
",yaw ,-10.00 ,pitch , -71.00 ,roll ," 7.00
"
Date,04/11/2023 15:36:41 , Ax ,-49.15 ,Ay , -39.94 ,Az ," 220.16
",Mx ,-121.83 ,My , -33.00 ,Mz ," 43.50
",yaw ,-12.00 ,pitch , -47.00 ,roll ," 7.00
"
